trans_id,cliente_id,valor,mcc,payment_method,taxa_padrao_esperada,isencao_documentada,taxa_cobrada_real
T100048,C148,581.67,5941,credit,0.028,False,0.028
T100049,C106,94.49,5812,credit,0.025,False,0.025
T100050,C101,481.66,5812,credit,0.028,False,0.028
T100051,C123,41.84,4511,credit,0.025,False,0.025
T100052,C145,196.43,5941,credit,0.028,False,0.028
T100053,C132,749.66,7512,credit,0.028,False,0.028
T100054,C111,200.4,5411,voucher,0.03,False,0.03
T100055,C107,57.74,5813,credit,0.0,True,0.0
T100056,C118,59.92,5813,pix_debit,0.025,False,0.0
T100057,C135,169.65,7512,credit,0.028,False,0.028
T100058,C123,520.55,7512,pix_debit,0.025,False,0.0
T100059,C104,113.39,8299,pix_debit,0.03,False,0.0
T100060,C135,603.13,7512,voucher,0.028,False,0.028
T100061,C138,146.63,7512,pix_debit,0.03,False,0.0
T100062,C118,344.2,7512,debit,0.025,False,0.025
T100063,C143,349.46,4511,pix_debit,0.028,False,0.0
T100064,C111,46.17,8299,debit,0.03,False,0.0
T100065,C122,47.13,5411,pix_debit,0.03,False,0.0
T100066,C114,131.01999999999998,5941,pix_credit,0.025,False,0.025
T100067,C103,2728.4,7512,pix_debit,0.025,False,0.0
T100068,C104,65.41,5411,credit,0.03,False,0.03
T100069,C126,77.72,5813,debit,0.03,False,0.03
T100070,C118,268.34,5812,credit,0.025,False,0.025
T100071,C125,162.14,5812,credit,0.025,False,0.025
T100072,C122,322.31,5941,debit,0.03,False,0.03
T100073,C102,196.99,8011,debit,0.028,False,0.028
T100074,C138,215.48,5411,credit,0.03,False,0.03
T100075,C106,104.19,7512,credit,0.025,False,0.025
T100076,C145,76.46,8299,credit,0.028,False,0.0
T100077,C139,381.66,5411,credit,0.0,True,0.0
T100078,C112,115.5,8299,credit,0.03,False,0.0
T100079,C102,296.39,5813,pix_debit,0.028,False,0.0
T100080,C113,94.98,5812,pix_debit,0.028,False,0.0
T100081,C114,34.980000000000004,5411,debit,0.025,False,0.025
T100082,C134,46.02,7512,credit,0.03,False,0.03
T100083,C129,57.83,5941,credit,0.03,False,0.03
T100084,C103,121.5,7512,pix_debit,0.025,False,0.0
T100085,C101,354.31,5411,debit,0.028,False,0.028
T100086,C126,246.28,5813,credit,0.03,False,0.03
T100087,C110,235.55,7512,credit,0.025,False,0.025
T100088,C128,70.08,5411,credit,0.0,True,0.0
T100089,C118,344.09,5941,credit,0.025,False,0.025
T100090,C100,203.22,5813,pix_credit,0.03,False,0.03
T100091,C136,160.35,5411,credit,0.028,False,0.028
T100092,C101,269.82,5411,debit,0.028,False,0.028
T100093,C145,218.34,8299,voucher,0.028,False,0.0
T100094,C142,249.02,4511,credit,0.0,True,0.0
T100095,C123,92.0,4511,debit,0.025,False,0.025
T100096,C137,92.93,7512,debit,0.028,False,0.028
T100097,C111,134.0,8299,debit,0.03,False,0.0
T100098,C143,91.33,8011,credit,0.028,False,0.028
T100099,C133,389.1,5812,debit,0.025,False,0.025
T100100,C102,34.15,5411,debit,0.028,False,0.028
T100101,C138,110.09,5411,pix_debit,0.03,False,0.0
T100102,C120,347.44,7512,pix_credit,0.025,False,0.025
T100103,C115,81.8,5812,pix_debit,0.03,False,0.0
T100104,C136,935.19,5941,credit,0.028,False,0.028
T100105,C148,393.41,7512,credit,0.028,False,0.028
T100106,C130,60.68,5813,debit,0.0,True,0.025
T100107,C125,167.63,5941,pix_debit,0.025,False,0.0
T100108,C148,76.49,8011,debit,0.028,False,0.028
T100109,C128,144.41,5941,credit,0.0,True,0.0
T100110,C139,132.34,8299,debit,0.0,True,0.0
T100111,C125,279.9,7512,credit,0.025,False,0.025
T100112,C129,203.56,7512,credit,0.03,False,0.03
T100113,C117,624.18,8011,credit,0.0,True,0.0
T100114,C119,229.05,5812,debit,0.025,False,0.025
T100115,C113,17.87,5411,credit,0.028,False,0.028
T100116,C134,538.06,5812,credit,0.03,False,0.03
T100117,C123,149.14,5411,credit,0.025,False,0.025
T100118,C126,176.8,5941,voucher,0.03,False,0.03
T100119,C128,705.17,5411,credit,0.0,True,0.0
T100120,C118,2371.21,5812,pix_debit,0.025,False,0.0
T100121,C110,156.39,4511,debit,0.025,False,0.025
T100122,C138,147.19,8011,debit,0.03,False,0.03
T100123,C144,84.67,5411,credit,0.025,False,0.025
T100124,C100,372.71,5812,pix_credit,0.03,False,0.03
T100125,C135,195.38,5411,pix_credit,0.028,False,0.028
T100126,C122,131.0,8299,credit,0.03,False,0.0
T100127,C147,526.04,4511,credit,0.03,False,0.03
T100128,C125,575.54,8299,credit,0.025,False,0.0
T100129,C120,386.26,7512,debit,0.025,False,0.025
T100130,C129,103.25,5812,voucher,0.03,False,0.03
T100131,C104,26.35,5411,pix_debit,0.03,False,0.0
T100132,C140,719.2,8011,credit,0.025,False,0.025
T100133,C105,518.3199999999999,4511,pix_debit,0.028,False,0.0
T100134,C108,107.77,8011,credit,0.03,False,0.03
T100135,C130,330.84,5812,credit,0.0,True,0.025
T100136,C100,32.41,5941,credit,0.03,False,0.03
T100137,C143,103.98,7512,credit,0.028,False,0.028
T100138,C135,89.27,5411,pix_debit,0.028,False,0.0
T100139,C111,717.19,5941,pix_debit,0.03,False,0.0
T100140,C148,35.27,8299,debit,0.028,False,0.0
T100141,C124,81.26,8299,credit,0.03,False,0.0
T100142,C134,61.64,5812,credit,0.03,False,0.03
T100143,C131,102.32,7512,debit,0.03,False,0.03
T100144,C127,358.47,5813,voucher,0.0,True,0.0
T100145,C144,841.38,5812,pix_credit,0.025,False,0.025
T100146,C121,190.48,5812,pix_credit,0.03,False,0.03
T100147,C120,158.91,4511,credit,0.025,False,0.025
T100148,C137,67.37,5941,credit,0.028,False,0.028
T100149,C142,59.86,7512,debit,0.0,True,0.0
T100150,C136,246.75,5812,debit,0.028,False,0.028
T100151,C125,223.86,5941,credit,0.025,False,0.025
T100152,C121,290.87,8011,credit,0.03,False,0.03
T100153,C145,404.67,5813,pix_debit,0.028,False,0.0
T100154,C123,98.98,5812,credit,0.025,False,0.025
T100155,C116,205.95,5941,pix_debit,0.03,False,0.0
T100156,C103,66.59,5813,credit,0.025,False,0.025
T100157,C143,232.96,7512,debit,0.028,False,0.028
T100158,C117,126.19,8299,debit,0.0,True,0.0
T100159,C147,45.88,7512,credit,0.03,False,0.03
T100160,C135,138.22,5812,pix_credit,0.028,False,0.028
T100161,C110,119.34,4511,debit,0.025,False,0.025
T100162,C113,256.2,4511,voucher,0.028,False,0.028
T100163,C115,159.13,8299,debit,0.03,False,0.0
T100164,C110,211.13,4511,credit,0.025,False,0.025
T100165,C112,40.05,4511,credit,0.03,False,0.03
T100166,C132,259.9,7512,credit,0.028,False,0.028
T100167,C144,242.02,5411,pix_debit,0.025,False,0.0
T100168,C139,109.66,8299,credit,0.0,True,0.0
T100169,C143,169.2,8011,credit,0.028,False,0.028
T100170,C111,322.98,5411,pix_debit,0.03,False,0.0
T100171,C143,53.7,5813,pix_credit,0.028,False,0.028
T100172,C115,99.27,5812,debit,0.03,False,0.03
T100173,C122,483.21,8011,pix_debit,0.03,False,0.0
T100174,C118,181.54,5411,debit,0.025,False,0.025
T100175,C130,224.3,4511,credit,0.0,True,0.025
T100176,C140,124.78,5411,pix_credit,0.025,False,0.025
T100177,C149,180.32,5812,pix_debit,0.028,False,0.0
T100178,C102,122.34,5411,pix_credit,0.028,False,0.028
T100179,C104,211.67,7512,pix_credit,0.03,False,0.03
T100180,C125,101.7,8299,debit,0.025,False,0.0
T100181,C129,156.92,5941,debit,0.03,False,0.03
T100182,C119,95.61,5411,credit,0.025,False,0.025
T100183,C149,34.58,8299,credit,0.028,False,0.0
T100184,C107,114.13,7512,pix_debit,0.0,True,0.0
T100185,C107,90.18,5813,credit,0.0,True,0.0
T100186,C114,309.28,4511,debit,0.025,False,0.025
T100187,C120,408.53,8011,credit,0.025,False,0.025
T100188,C139,443.95,5813,credit,0.0,True,0.0
T100189,C126,114.06,5941,credit,0.03,False,0.03
T100190,C119,318.86,5813,voucher,0.025,False,0.025
T100191,C117,57.52,5941,credit,0.0,True,0.0
T100192,C122,199.46,5941,debit,0.03,False,0.03
T100193,C149,1064.86,8011,credit,0.028,False,0.028
T100194,C124,43.27,4511,debit,0.03,False,0.03
T100195,C148,363.01,5411,credit,0.028,False,0.028
T100196,C129,442.0,5812,pix_debit,0.03,False,0.0
T100197,C131,553.02,5813,debit,0.03,False,0.03
T100198,C112,25.08,5941,credit,0.03,False,0.03
T100199,C111,14.87,5813,credit,0.03,False,0.03
T100200,C144,48.95,8299,credit,0.025,False,0.0
T100201,C127,137.99,4511,pix_credit,0.0,True,0.0
T100202,C101,912.46,5411,credit,0.028,False,0.028
T100203,C134,78.65,5411,debit,0.03,False,0.03
T100204,C107,151.12,4511,pix_debit,0.0,True,0.0
T100205,C129,277.92,7512,debit,0.03,False,0.03
T100206,C126,157.33,5941,pix_debit,0.03,False,0.0
T100207,C122,145.49,5411,credit,0.03,False,0.03
T100208,C108,148.2,7512,debit,0.03,False,0.03
T100209,C121,55.17,5813,debit,0.03,False,0.03
T100210,C113,113.34,5812,debit,0.028,False,0.028
T100211,C136,120.32,8011,debit,0.028,False,0.028
T100212,C137,25.01,5941,credit,0.028,False,0.028
T100213,C104,279.86,8299,pix_credit,0.03,False,0.0
T100214,C117,575.32,4511,debit,0.0,True,0.0
T100215,C103,70.93,8299,debit,0.025,False,0.0
T100216,C122,336.38,5411,credit,0.03,False,0.03
T100217,C124,259.36,7512,pix_debit,0.03,False,0.0
T100218,C125,124.78,7512,pix_debit,0.025,False,0.0
T100219,C147,13.73,5941,pix_debit,0.03,False,0.0
T100220,C104,85.57,5941,voucher,0.03,False,0.03
T100221,C106,55.67,8011,credit,0.025,False,0.025
T100222,C118,42.23,7512,credit,0.025,False,0.025
T100223,C130,151.99,8011,credit,0.0,True,0.025
T100224,C108,193.29,5941,credit,0.03,False,0.03
T100225,C112,66.28,5941,credit,0.03,False,0.03
T100226,C132,259.82,5941,credit,0.028,False,0.028
T100227,C121,115.72,5411,credit,0.03,False,0.03
T100228,C144,172.81,4511,voucher,0.025,False,0.025
T100229,C140,69.81,8011,credit,0.025,False,0.025
T100230,C121,935.06,8011,pix_debit,0.03,False,0.0
T100231,C121,52.19,5812,credit,0.03,False,0.03
T100232,C133,143.91,5411,credit,0.025,False,0.025
T100233,C137,20.85,5812,credit,0.028,False,0.028
T100234,C101,159.78,4511,pix_debit,0.028,False,0.0
T100235,C116,478.27,4511,debit,0.03,False,0.03
T100236,C128,321.79,5941,credit,0.0,True,0.0
T100237,C102,67.2,5812,credit,0.028,False,0.028
T100238,C129,108.75,7512,voucher,0.03,False,0.03
T100239,C141,516.1800000000001,5941,credit,0.0,True,0.025
T100240,C120,187.01,8011,credit,0.025,False,0.025
T100241,C142,75.91,5812,pix_debit,0.0,True,0.0
T100242,C134,99.86,5941,credit,0.03,False,0.03
T100243,C103,33.2,8011,debit,0.025,False,0.025
T100244,C113,129.38,4511,credit,0.028,False,0.028
T100245,C111,122.67,5411,debit,0.03,False,0.03
T100246,C146,109.6,5411,credit,0.028,False,0.028
T100247,C138,22.67,8011,pix_debit,0.03,False,0.0
T100248,C136,73.36,5812,credit,0.028,False,0.028
T100249,C144,209.52,5411,debit,0.025,False,0.025
T100250,C123,212.56,4511,credit,0.025,False,0.025
T100251,C102,2320.82,7512,pix_debit,0.028,False,0.0
T100252,C136,1600.45,5812,pix_credit,0.028,False,0.028
T100253,C108,85.75,5813,debit,0.03,False,0.03
T100254,C146,149.1,8011,credit,0.028,False,0.028
T100255,C133,66.59,4511,debit,0.025,False,0.025
T100256,C111,65.78,5812,debit,0.03,False,0.03
T100257,C115,280.44,5812,credit,0.03,False,0.03
T100258,C107,104.75,8299,credit,0.0,True,0.0
T100259,C148,181.74,4511,debit,0.028,False,0.028
T100260,C107,401.11,8011,pix_debit,0.0,True,0.0
T100261,C138,371.5,5813,pix_credit,0.03,False,0.03
T100262,C103,151.39,8299,credit,0.025,False,0.0
T100263,C115,67.16,5411,debit,0.03,False,0.03
T100264,C114,357.4,8299,voucher,0.025,False,0.0
T100265,C128,458.17,7512,debit,0.0,True,0.0
T100266,C131,65.41,7512,pix_debit,0.03,False,0.0
T100267,C144,37.04,5812,credit,0.025,False,0.025
T100268,C127,56.47,4511,debit,0.0,True,0.0
T100269,C103,91.36,5812,debit,0.025,False,0.025
T100270,C100,74.33,7512,credit,0.03,False,0.03
T100271,C148,114.13,8011,voucher,0.028,False,0.028
T100272,C102,87.81,5411,debit,0.028,False,0.028
T100273,C117,101.5,5411,credit,0.0,True,0.0
T100274,C108,43.43,5813,credit,0.03,False,0.03
T100275,C106,194.07,7512,debit,0.025,False,0.025
T100276,C141,439.95,5812,pix_credit,0.0,True,0.025
T100277,C144,117.39,8011,debit,0.025,False,0.025
T100278,C133,60.21,4511,debit,0.025,False,0.025
T100279,C112,119.46,5411,credit,0.03,False,0.03
T100280,C110,34.45,5813,debit,0.025,False,0.025
T100281,C115,124.36,7512,credit,0.03,False,0.03
T100282,C107,180.45,7512,credit,0.0,True,0.0
T100283,C143,362.27,4511,debit,0.028,False,0.028
T100284,C136,416.9,8011,pix_debit,0.028,False,0.0
T100285,C107,59.88,4511,pix_debit,0.0,True,0.0
T100286,C111,353.39,7512,debit,0.03,False,0.03
T100287,C111,309.69,5941,debit,0.03,False,0.03
T100288,C100,791.33,7512,debit,0.03,False,0.03
T100289,C147,146.37,5812,debit,0.03,False,0.03
T100290,C147,360.4,7512,credit,0.03,False,0.03
T100291,C123,134.6,5813,pix_debit,0.025,False,0.0
T100292,C132,173.98,4511,debit,0.028,False,0.028
T100293,C127,84.68,4511,credit,0.0,True,0.0
T100294,C117,467.2,5812,debit,0.0,True,0.0
T100295,C120,163.98,7512,credit,0.025,False,0.025
T100296,C132,264.79,4511,debit,0.028,False,0.028
T100297,C123,99.72,8011,credit,0.025,False,0.025
T100298,C135,132.47,7512,credit,0.028,False,0.028
T100299,C106,169.08,5813,credit,0.025,False,0.025
T100300,C104,163.75,7512,pix_credit,0.03,False,0.03
T100301,C138,389.14,7512,pix_debit,0.03,False,0.0
T100302,C124,102.28,5813,voucher,0.03,False,0.03
T100303,C114,228.39,5411,credit,0.025,False,0.025
T100304,C127,141.14,4511,credit,0.0,True,0.0
T100305,C128,179.92,4511,voucher,0.0,True,0.0
T100306,C145,280.99,7512,credit,0.028,False,0.028
T100307,C121,151.29,5411,pix_debit,0.03,False,0.0
T100308,C136,27.8,4511,credit,0.028,False,0.028
T100309,C101,358.68,5812,pix_debit,0.028,False,0.0
T100310,C105,160.83,8299,credit,0.028,False,0.0
T100311,C135,124.77,5812,credit,0.028,False,0.028
T100312,C110,86.8,8299,credit,0.025,False,0.0
T100313,C139,163.91,8299,credit,0.0,True,0.0
T100314,C117,98.63,8299,debit,0.0,True,0.0
T100315,C111,168.77,8299,pix_debit,0.03,False,0.0
T100316,C112,373.12,4511,pix_debit,0.03,False,0.0
T100317,C119,72.16,8011,credit,0.025,False,0.025
T100318,C120,91.09,8299,debit,0.025,False,0.0
T100319,C143,46.96,8299,debit,0.028,False,0.0
T100320,C107,30.36,5813,credit,0.0,True,0.0
T100321,C117,320.33,5941,pix_debit,0.0,True,0.0
T100322,C147,178.13,5941,credit,0.03,False,0.03
T100323,C127,59.6,8011,credit,0.0,True,0.0
T100324,C116,426.2,4511,debit,0.03,False,0.03
T100325,C101,281.51,5812,credit,0.028,False,0.028
T100326,C145,123.85,4511,pix_credit,0.028,False,0.028
T100327,C109,52.68,4511,pix_credit,0.028,False,0.028
T100328,C110,291.64,7512,credit,0.025,False,0.025
T100329,C133,897.39,4511,credit,0.025,False,0.025
T100330,C121,336.54,5411,pix_debit,0.03,False,0.0
T100331,C120,101.35,4511,debit,0.025,False,0.025
T100332,C112,15.81,5813,credit,0.03,False,0.03
T100333,C141,120.33,8011,debit,0.0,True,0.025
T100334,C133,165.05,5813,credit,0.025,False,0.025
T100335,C136,149.34,8299,credit,0.028,False,0.0
T100336,C123,115.81,4511,credit,0.025,False,0.025
T100337,C101,508.51,4511,debit,0.028,False,0.028
T100338,C135,40.98,8299,debit,0.028,False,0.0
T100339,C142,106.08,5812,credit,0.0,True,0.0
T100340,C148,205.22,5812,debit,0.028,False,0.028
T100341,C120,785.59,5812,pix_debit,0.025,False,0.0
T100342,C147,162.11,5813,credit,0.03,False,0.03
T100343,C141,77.1,5941,debit,0.0,True,0.025
T100344,C117,144.11,5941,pix_debit,0.0,True,0.0
T100345,C117,85.37,7512,credit,0.0,True,0.0
T100346,C126,146.42,4511,pix_debit,0.03,False,0.0
T100347,C122,288.31,5411,credit,0.03,False,0.03
T100348,C112,3347.63,7512,pix_credit,0.03,False,0.03
T100349,C125,542.68,7512,debit,0.025,False,0.025
T100350,C137,206.14,8011,debit,0.028,False,0.028
T100351,C127,758.82,8299,credit,0.0,True,0.0
T100352,C104,117.01,7512,credit,0.03,False,0.03
T100353,C107,187.58,8011,pix_debit,0.0,True,0.0
T100354,C112,145.24,5411,pix_debit,0.03,False,0.0
T100355,C130,427.2,4511,pix_credit,0.0,True,0.025
T100356,C117,118.02,8299,debit,0.0,True,0.0
T100357,C132,520.94,5813,debit,0.028,False,0.028
T100358,C135,125.94,5941,pix_credit,0.028,False,0.028
T100359,C122,956.94,5812,debit,0.03,False,0.03
T100360,C130,111.23,5941,pix_debit,0.0,True,0.0
T100361,C102,1131.61,5813,debit,0.028,False,0.028
T100362,C130,394.45,4511,credit,0.0,True,0.025
T100363,C129,329.2,8011,credit,0.03,False,0.03
T100364,C136,398.16,4511,pix_debit,0.028,False,0.0
T100365,C147,104.16,4511,credit,0.03,False,0.03
T100366,C137,104.11,5813,credit,0.028,False,0.028
T100367,C102,840.64,5411,credit,0.028,False,0.028
T100368,C144,190.06,8011,credit,0.025,False,0.025
T100369,C101,67.78,4511,credit,0.028,False,0.028
T100370,C148,249.28,5812,pix_debit,0.028,False,0.0
T100371,C104,135.19,5411,debit,0.03,False,0.03
T100372,C115,92.62,8011,debit,0.03,False,0.03
T100373,C133,109.61,8299,pix_debit,0.025,False,0.0
T100374,C127,104.45,4511,debit,0.0,True,0.0
T100375,C106,40.16,7512,debit,0.025,False,0.025
T100376,C116,151.96,5813,pix_debit,0.03,False,0.0
T100377,C149,196.24,7512,voucher,0.028,False,0.028
T100378,C108,138.12,7512,credit,0.03,False,0.03
T100379,C144,135.85,5941,pix_debit,0.025,False,0.0
T100380,C136,30.26,8299,debit,0.028,False,0.0
T100381,C134,179.56,5411,debit,0.03,False,0.03
T100382,C135,106.11,5813,debit,0.028,False,0.028
T100383,C124,60.84,5812,credit,0.03,False,0.03
T100384,C105,83.37,5411,pix_credit,0.028,False,0.028
T100385,C139,95.29,5941,debit,0.0,True,0.0
T100386,C115,77.91,5941,credit,0.03,False,0.03
T100387,C108,116.14,8011,voucher,0.03,False,0.03
T100388,C122,97.09,5941,voucher,0.03,False,0.03
T100389,C127,70.17,5411,credit,0.0,True,0.0
T100390,C104,66.9,8011,pix_credit,0.03,False,0.03
T100391,C141,26.21,5812,debit,0.0,True,0.025
T100392,C149,413.61,5812,debit,0.028,False,0.028
T100393,C127,260.01,7512,pix_debit,0.0,True,0.0
T100394,C100,128.07,5812,debit,0.03,False,0.03
T100395,C139,26.94,7512,pix_credit,0.0,True,0.0
T100396,C124,268.49,4511,voucher,0.03,False,0.03
T100397,C114,57.71,8011,pix_debit,0.025,False,0.0
T100398,C117,406.45,5813,debit,0.0,True,0.0
T100399,C137,90.0,5941,debit,0.028,False,0.028
T100400,C148,154.18,5411,pix_debit,0.028,False,0.0
T100401,C148,342.68,5813,debit,0.028,False,0.028
T100402,C126,301.3,8011,credit,0.03,False,0.03
T100403,C111,633.14,8299,debit,0.03,False,0.0
T100404,C107,119.66,5941,debit,0.0,True,0.0
T100405,C146,410.02,5813,debit,0.028,False,0.028
T100406,C148,47.72,5941,pix_credit,0.028,False,0.028
T100407,C101,1087.43,8299,debit,0.028,False,0.0
T100408,C140,542.22,8011,pix_credit,0.025,False,0.025
T100409,C121,442.39,4511,pix_debit,0.03,False,0.0
T100410,C141,189.96,5411,credit,0.0,True,0.025
T100411,C126,510.66,5813,credit,0.03,False,0.03
T100412,C131,35.84,5813,credit,0.03,False,0.03
T100413,C138,378.62,8011,credit,0.03,False,0.03
T100414,C119,57.25,5941,pix_debit,0.025,False,0.0
T100415,C100,110.18,4511,credit,0.03,False,0.03
T100416,C133,347.13,5813,pix_credit,0.025,False,0.025
T100417,C149,179.68,5812,debit,0.028,False,0.028
T100418,C134,108.49,5812,credit,0.03,False,0.03
T100419,C141,64.16,7512,credit,0.0,True,0.025
T100420,C136,101.87,5812,credit,0.028,False,0.028
T100421,C144,54.12,5941,debit,0.025,False,0.025
T100422,C112,306.29,5941,pix_debit,0.03,False,0.0
T100423,C140,149.5,5813,debit,0.025,False,0.025
T100424,C122,159.54,4511,credit,0.03,False,0.03
T100425,C139,324.51,5813,voucher,0.0,True,0.0
T100426,C112,370.49,8299,pix_debit,0.03,False,0.0
T100427,C108,59.39,8011,voucher,0.03,False,0.03
T100428,C117,78.22,5813,debit,0.0,True,0.0
T100429,C146,21.41,8011,pix_debit,0.028,False,0.0
T100430,C143,817.71,8011,pix_debit,0.028,False,0.0
T100431,C139,135.01999999999998,5813,pix_debit,0.0,True,0.0
T100432,C126,69.22,5411,debit,0.03,False,0.03
T100433,C108,100.72,8299,credit,0.03,False,0.0
T100434,C133,129.29000000000002,7512,debit,0.025,False,0.025
T100435,C132,62.39,4511,debit,0.028,False,0.028
T100436,C138,89.7,7512,debit,0.03,False,0.03
T100437,C102,136.41,5813,credit,0.028,False,0.028
T100438,C147,340.91,8299,pix_credit,0.03,False,0.0
T100439,C109,378.4,5813,credit,0.028,False,0.028
T100440,C146,56.02,8299,debit,0.028,False,0.0
T100441,C110,221.19,5813,pix_debit,0.025,False,0.0
T100442,C115,104.85,4511,debit,0.03,False,0.03
T100443,C118,96.57,4511,pix_debit,0.025,False,0.0
T100444,C130,25.36,8011,debit,0.0,True,0.025
T100445,C100,44.74,8299,credit,0.03,False,0.0
T100446,C123,356.88,8299,pix_debit,0.025,False,0.0
T100447,C143,856.44,5813,credit,0.028,False,0.028
T100448,C107,471.43,8299,pix_debit,0.0,True,0.0
T100449,C102,72.62,4511,credit,0.028,False,0.028
T100450,C116,89.32,8011,credit,0.03,False,0.03
T100451,C117,306.53,7512,pix_debit,0.0,True,0.0
T100452,C143,43.47,7512,credit,0.028,False,0.028
T100453,C119,154.74,5813,voucher,0.025,False,0.025
T100454,C144,520.11,8011,credit,0.025,False,0.025
T100455,C116,160.84,4511,debit,0.03,False,0.03
T100456,C127,564.82,5941,credit,0.0,True,0.0
T100457,C137,1354.73,8299,credit,0.028,False,0.0
T100458,C102,141.29,8011,debit,0.028,False,0.028
T100459,C135,60.41,5411,pix_debit,0.028,False,0.0
T100460,C117,210.2,5941,debit,0.0,True,0.0
T100461,C147,197.42,8011,credit,0.03,False,0.03
T100462,C133,409.44,5941,debit,0.025,False,0.025
T100463,C105,238.35,7512,credit,0.028,False,0.028
T100464,C111,84.78,8011,pix_credit,0.03,False,0.03
T100465,C121,481.14,7512,credit,0.03,False,0.03
T100466,C112,191.19,7512,debit,0.03,False,0.03
T100467,C120,297.8,5411,debit,0.025,False,0.025
T100468,C136,306.58,7512,credit,0.028,False,0.028
T100469,C143,59.18,5411,credit,0.028,False,0.028
T100470,C141,633.32,5941,debit,0.0,True,0.025
T100471,C121,236.75,8299,credit,0.03,False,0.0
T100472,C127,208.4,8011,debit,0.0,True,0.0
T100473,C140,138.45,8299,debit,0.025,False,0.0
T100474,C144,232.44,5411,credit,0.025,False,0.025
T100475,C101,148.32,5812,credit,0.028,False,0.028
T100476,C140,1880.87,7512,credit,0.025,False,0.025
T100477,C148,61.07,5813,credit,0.028,False,0.028
T100478,C103,270.47,5411,credit,0.025,False,0.025
T100479,C103,67.08,7512,credit,0.025,False,0.025
T100480,C121,83.47,8299,pix_debit,0.03,False,0.0
T100481,C100,425.4,8011,pix_credit,0.03,False,0.03
T100482,C112,154.84,8299,pix_credit,0.03,False,0.0
T100483,C133,135.01999999999998,8299,pix_debit,0.025,False,0.0
T100484,C138,86.53,5941,debit,0.03,False,0.03
T100485,C106,90.01,5411,debit,0.025,False,0.025
T100486,C120,360.44,5813,credit,0.025,False,0.025
T100487,C121,162.95,5813,pix_credit,0.03,False,0.03
T100488,C140,127.27,5812,credit,0.025,False,0.025
T100489,C105,21.61,8299,debit,0.028,False,0.0
T100490,C149,109.54,5812,pix_credit,0.028,False,0.028
T100491,C131,169.29,8011,credit,0.03,False,0.03
T100492,C125,332.7,4511,debit,0.025,False,0.025
T100493,C124,220.54,8011,credit,0.03,False,0.03
T100494,C120,108.34,5941,pix_credit,0.025,False,0.025
T100495,C134,190.95,4511,credit,0.03,False,0.03
T100496,C144,237.26,5941,credit,0.025,False,0.025
