trans_id,taxa_cobrada_real
T100427,0.03
T100428,0.0
T100429,0.0
T100430,0.0
T100431,0.0
T100432,0.03
T100433,0.0
T100434,0.025
T100435,0.028
T100436,0.03
T100437,0.028
T100438,0.0
T100439,0.028
T100440,0.0
T100441,0.0
T100442,0.03
T100443,0.0
T100444,0.025
T100445,0.0
T100446,0.0
T100447,0.028
T100448,0.0
T100449,0.028
T100450,0.03
T100451,0.0
T100452,0.028
T100453,0.025
T100454,0.025
T100455,0.03
T100456,0.0
T100457,0.0
T100458,0.028
T100459,0.0
T100460,0.0
T100461,0.03
T100462,0.025
T100463,0.028
T100464,0.03
T100465,0.03
T100466,0.03
T100467,0.025
T100468,0.028
T100469,0.028
T100470,0.025
T100471,0.0
T100472,0.0
T100473,0.0
T100474,0.025
T100475,0.028
T100476,0.025
T100477,0.028
T100478,0.025
T100479,0.025
T100480,0.0
T100481,0.03
T100482,0.0
T100483,0.0
T100484,0.03
T100485,0.025
T100486,0.025
T100487,0.03
T100488,0.025
T100489,0.0
T100490,0.028
T100491,0.03
T100492,0.025
T100493,0.03
T100494,0.025
T100495,0.03
T100496,0.025
T100497,0.025
T100498,0.028
T100499,0.0
T100500,0.03
T100501,0.0
T100502,0.0
T100503,0.028
T100504,0.03
T100505,0.028
T100506,0.025
T100507,0.028
T100508,0.025
T100509,0.025
T100510,0.025
T100511,0.03
T100512,0.028
T100513,0.03
T100514,0.03
T100515,0.03
T100516,0.0
T100517,0.03
T100518,0.0
T100519,0.0
T100520,0.03
T100521,0.0
T100522,0.03
T100523,0.028
T100524,0.025
T100525,0.028
T100526,0.03
T100527,0.0
T100528,0.03
T100529,0.03
T100530,0.03
T100531,0.025
T100532,0.028
T100533,0.0
T100534,0.03
T100535,0.025
T100536,0.0
T100537,0.0
T100538,0.028
T100539,0.03
T100540,0.0
T100541,0.03
T100542,0.0
T100543,0.025
T100544,0.0
T100545,0.0
T100546,0.0
T100547,0.0
T100548,0.025
T100549,0.028
T100550,0.03
T100551,0.0
T100552,0.0
T100553,0.028
T100554,0.03
T100555,0.0
T100556,0.0
T100557,0.0
T100558,0.0
T100559,0.025
T100560,0.028
T100561,0.03
T100562,0.0
T100563,0.028
T100564,0.025
T100565,0.0
T100566,0.0
T100567,0.025
T100568,0.03
T100569,0.028
T100570,0.025
T100571,0.03
T100572,0.025
T100573,0.028
T100574,0.028
T100575,0.03
T100576,0.025
T100577,0.028
T100578,0.0
T100579,0.025
T100580,0.028
T100581,0.028
T100582,0.03
T100583,0.0
T100584,0.025
T100585,0.025
T100586,0.028
T100587,0.03
T100588,0.03
T100589,0.028
T100590,0.028
T100591,0.0
T100592,0.0
T100593,0.03
T100594,0.03
T100595,0.0
T100596,0.028
T100597,0.03
T100598,0.028
T100599,0.025
T100600,0.0
T100601,0.03
T100602,0.025
T100603,0.03
T100604,0.0
T100605,0.025
T100606,0.0
T100607,0.0
T100608,0.028
T100609,0.0
T100610,0.0
T100611,0.0
T100612,0.025
T100613,0.03
T100614,0.025
T100615,0.0
T100616,0.028
T100617,0.0
T100618,0.028
T100619,0.0
T100620,0.0
T100621,0.025
T100622,0.028
T100623,0.0
T100624,0.025
T100625,0.025
T100626,0.0
T100627,0.025
T100628,0.03
T100629,0.028
T100630,0.03
T100631,0.0
T100632,0.025
T100633,0.0
T100634,0.028
T100635,0.03
T100636,0.028
T100637,0.03
T100638,0.03
T100639,0.03
T100640,0.0
T100641,0.03
T100642,0.025
T100643,0.025
T100644,0.028
T100645,0.0
T100646,0.03
T100647,0.028
T100648,0.028
T100649,0.028
T100650,0.03
T100651,0.03
T100652,0.028
T100653,0.0
T100654,0.0
T100655,0.03
T100656,0.03
T100657,0.025
T100658,0.03
T100659,0.025
T100660,0.0
T100661,0.025
T100662,0.0
T100663,0.03
T100664,0.0
T100665,0.0
T100666,0.0
T100667,0.03
T100668,0.0
T100669,0.03
T100670,0.0
T100671,0.03
T100672,0.0
T100673,0.0
T100674,0.0
T100675,0.0
T100676,0.0
T100677,0.0
T100678,0.0
T100679,0.028
T100680,0.0
T100681,0.0
T100682,0.03
T100683,0.0
T100684,0.03
T100685,0.0
T100686,0.03
T100687,0.028
T100688,0.03
T100689,0.03
T100690,0.0
T100691,0.028
T100692,0.025
T100693,0.025
T100694,0.025
T100695,0.028
T100696,0.028
T100697,0.025
T100698,0.028
T100699,0.03
T100700,0.03
T100701,0.028
T100702,0.03
T100703,0.03
T100704,0.028
T100705,0.03
T100706,0.0
T100707,0.0
T100708,0.0
T100709,0.0
T100710,0.025
T100711,0.028
T100712,0.0
T100713,0.0
T100714,0.0
T100715,0.0
T100716,0.0
T100717,0.025
T100718,0.03
T100719,0.0
T100720,0.03
T100721,0.025
T100722,0.03
T100723,0.0
T100724,0.0
T100725,0.03
T100726,0.028
T100727,0.025
T100728,0.028
T100729,0.0
T100730,0.03
T100731,0.025
T100732,0.028
T100733,0.03
T100734,0.0
T100735,0.0
T100736,0.03
T100737,0.03
T100738,0.0
T100739,0.025
T100740,0.03
T100741,0.025
T100742,0.0
T100743,0.0
T100744,0.0
T100745,0.0
T100746,0.03
T100747,0.03
T100748,0.028
T100749,0.028
T100750,0.03
T100751,0.03
T100752,0.025
T100753,0.025
T100754,0.03
T100755,0.03
T100756,0.0
T100757,0.0
T100758,0.028
T100759,0.03
T100760,0.028
T100761,0.03
T100762,0.03
T100763,0.0
T100764,0.0
T100765,0.0
T100766,0.0
T100767,0.025
T100768,0.028
T100769,0.028
T100770,0.0
T100771,0.0
T100772,0.025
T100773,0.03
T100774,0.025
T100775,0.028
T100776,0.0
T100777,0.028
T100778,0.0
T100779,0.03
T100780,0.0
T100781,0.03
T100782,0.028
T100783,0.025
T100784,0.03
T100785,0.0
T100786,0.0
T100787,0.028
T100788,0.025
T100789,0.025
T100790,0.03
T100791,0.0
T100792,0.028
T100793,0.0
T100794,0.028
T100795,0.0
T100796,0.028
T100797,0.025
T100798,0.0
T100799,0.0
T100800,0.0
T100801,0.0
T100802,0.0
T100803,0.03
T100804,0.0
T100805,0.03
T100806,0.028
T100807,0.025
T100808,0.025
T100809,0.0
T100810,0.03
T100811,0.025
T100812,0.03
T100813,0.025
T100814,0.028
T100815,0.03
T100816,0.0
T100817,0.0
T100818,0.0
T100819,0.03
T100820,0.0
T100821,0.025
T100822,0.03
T100823,0.028
T100824,0.0
T100825,0.03
T100826,0.03
T100827,0.0
T100828,0.025
T100829,0.028
T100830,0.03
T100831,0.0
T100832,0.028
T100833,0.025
T100834,0.0
T100835,0.0
T100836,0.0
T100837,0.0
T100838,0.028
T100839,0.0
T100840,0.028
T100841,0.03
T100842,0.025
T100843,0.028
T100844,0.03
T100845,0.0
T100846,0.03
T100847,0.028
T100848,0.025
T100849,0.025
T100850,0.03
T100851,0.025
T100852,0.0
T100853,0.028
T100854,0.0
T100855,0.0
T100856,0.0
T100857,0.025
T100858,0.03
T100859,0.0
T100860,0.0
T100861,0.0
T100862,0.025
T100863,0.028
T100864,0.0
T100865,0.025
T100866,0.028
T100867,0.025
T100868,0.0
T100869,0.03
T100870,0.0
T100871,0.0
T100872,0.025
T100873,0.0
T100874,0.03
T100875,0.025
T100876,0.03
T100877,0.0
T100878,0.0
T100879,0.025
T100880,0.03
T100881,0.025
T100882,0.0
T100883,0.025
T100884,0.03
T100885,0.03
T100886,0.0
T100887,0.025
T100888,0.0
T100889,0.03
T100890,0.028
T100891,0.025
T100892,0.03
T100893,0.03
T100894,0.028
T100895,0.025
T100896,0.028
T100897,0.028
T100898,0.0
T100899,0.0
T100900,0.03
T100901,0.0
T100902,0.025
T100903,0.028
T100904,0.0
T100905,0.028
T100906,0.028
T100907,0.0
T100908,0.0
T100909,0.028
T100910,0.025
T100911,0.0
T100912,0.03
T100913,0.03
T100914,0.0
T100915,0.0
T100916,0.028
T100917,0.025
T100918,0.0
T100919,0.028
T100920,0.0
T100921,0.0
T100922,0.028
T100923,0.0
T100924,0.028
T100925,0.028
T100926,0.0
T100927,0.0
T100928,0.0
T100929,0.0
T100930,0.025
T100931,0.0
T100932,0.03
T100933,0.028
T100934,0.028
T100935,0.03
T100936,0.0
T100937,0.03
T100938,0.028
T100939,0.025
T100940,0.03
T100941,0.0
T100942,0.0
T100943,0.03
T100944,0.0
T100945,0.028
T100946,0.028
T100947,0.03
T100948,0.0
T100949,0.03
T100950,0.0
T100951,0.028
T100952,0.03
T100953,0.025
T100954,0.025
T100955,0.025
T100956,0.03
T100957,0.028
T100958,0.03
T100959,0.028
T100960,0.025
T100961,0.028
T100962,0.03
T100963,0.03
T100964,0.0
T100965,0.028
T100966,0.028
T100967,0.0
T100968,0.0
T100969,0.028
T100970,0.03
T100971,0.03
T100972,0.03
T100973,0.0
T100974,0.0
T100975,0.028
T100976,0.025
T100977,0.0
T100978,0.0
T100979,0.03
T100980,0.03
T100981,0.0
T100982,0.0
T100983,0.028
T100984,0.03
T100985,0.028
T100986,0.028
T100987,0.0
T100988,0.0
T100989,0.0
T100990,0.0
T100991,0.025
T100992,0.0
T100993,0.03
T100994,0.0
T100995,0.028
T100996,0.03
T100997,0.0
T100998,0.028
T100999,0.028
T101000,0.0
T101001,0.03
T101002,0.0
T101003,0.0
T101004,0.025
T101005,0.03
T101006,0.0
T101007,0.0
T101008,0.0
T101009,0.0
T101010,0.028
T101011,0.0
T101012,0.0
T101013,0.025
T101014,0.028
T101015,0.028
T101016,0.0
T101017,0.028
T101018,0.0
T101019,0.025
T101020,0.0
T101021,0.025
T101022,0.028
T101023,0.0
T101024,0.028
T101025,0.03
T101026,0.03
T101027,0.028
T101028,0.028
T101029,0.0
T101030,0.03
T101031,0.028
T101032,0.03
T101033,0.0
T101034,0.0
T101035,0.0
T101036,0.025
T101037,0.03
T101038,0.03
T101039,0.03
T101040,0.0
T101041,0.028
T101042,0.028
T101043,0.0
T101044,0.025
T101045,0.03
T101046,0.0
T101047,0.025
T101048,0.025
T101049,0.03
T101050,0.025
T101051,0.0
T101052,0.028
T101053,0.03
T101054,0.0
T101055,0.03
T101056,0.028
T101057,0.025
T101058,0.025
T101059,0.03
T101060,0.0
T101061,0.028
T101062,0.025
T101063,0.028
T101064,0.0
T101065,0.025
T101066,0.0
T101067,0.028
T101068,0.0
T101069,0.028
T101070,0.03
T101071,0.03
T101072,0.028
T101073,0.025
T101074,0.0
T101075,0.03
T101076,0.025
T101077,0.028
T101078,0.0
T101079,0.0
T101080,0.0
T101081,0.03
T101082,0.0
T101083,0.0
T101084,0.025
T101085,0.025
T101086,0.0
T101087,0.0
T101088,0.0
T101089,0.028
T101090,0.025
T101091,0.0
T101092,0.03
T101093,0.03
T101094,0.025
T101095,0.025
T101096,0.03
T101097,0.028
T101098,0.025
T101099,0.028
T101100,0.0
T101101,0.025
T101102,0.03
T101103,0.0
T101104,0.025
T101105,0.028
T101106,0.028
T101107,0.025
T101108,0.025
T101109,0.03
T101110,0.025
T101111,0.025
T101112,0.025
T101113,0.028
T101114,0.0
T101115,0.0
T101116,0.0
T101117,0.0
T101118,0.028
T101119,0.0
T101120,0.028
T101121,0.025
T101122,0.03
T101123,0.03
T101124,0.025
T101125,0.025
T101126,0.028
T101127,0.03
T101128,0.028
T101129,0.0
T101130,0.03
T101131,0.025
T101132,0.025
T101133,0.03
T101134,0.03
T101135,0.0
T101136,0.0
T101137,0.03
T101138,0.025
T101139,0.0
T101140,0.0
T101141,0.0
T101142,0.0
T101143,0.025
T101144,0.025
T101145,0.028
T101146,0.0
T101147,0.025
T101148,0.028
T101149,0.028
T101150,0.025
T101151,0.028
T101152,0.0
T101153,0.028
T101154,0.03
T101155,0.03
T101156,0.028
T101157,0.0
T101158,0.03
T101159,0.0
T101160,0.0
T101161,0.0
T101162,0.0
T101163,0.0
T101164,0.025
T101165,0.028
T101166,0.0
T101167,0.0
T101168,0.028
T101169,0.03
T101170,0.03
T101171,0.03
T101172,0.03
T101173,0.028
T101174,0.03
T101175,0.0
T101176,0.0
T101177,0.0
T101178,0.028
T101179,0.028
T101180,0.0
T101181,0.0
T101182,0.025
T101183,0.025
T101184,0.03
T101185,0.025
T101186,0.025
T101187,0.028
T101188,0.0
T101189,0.0
T101190,0.028
T101191,0.0
T101192,0.03
T101193,0.028
T101194,0.0
T101195,0.0
T101196,0.025
T101197,0.03
T101198,0.025
T101199,0.03
T101200,0.0
T101201,0.025
T101202,0.0
T101203,0.0
T101204,0.028
T101205,0.028
T101206,0.03
T101207,0.0
T101208,0.0
T101209,0.03
T101210,0.0
T101211,0.025
T101212,0.028
T101213,0.028
T101214,0.0
T101215,0.03
T101216,0.03
T101217,0.0
T101218,0.025
T101219,0.0
T101220,0.028
T101221,0.028
T101222,0.0
T101223,0.03
T101224,0.03
T101225,0.025
T101226,0.03
T101227,0.025
T101228,0.025
T101229,0.025
T101230,0.0
T101231,0.03
T101232,0.03
T101233,0.0
T101234,0.03
T101235,0.03
T101236,0.025
T101237,0.0
T101238,0.025
T101239,0.0
T101240,0.025
T101241,0.03
T101242,0.03
T101243,0.0
T101244,0.028
T101245,0.03
T101246,0.025
T101247,0.028
T101248,0.028
T101249,0.0
T101250,0.0
T101251,0.0
T101252,0.028
T101253,0.0
T101254,0.0
T101255,0.028
T101256,0.028
T101257,0.0
T101258,0.025
T101259,0.025
T101260,0.0
T101261,0.03
T101262,0.0
T101263,0.028
T101264,0.028
T101265,0.025
T101266,0.025
T101267,0.0
T101268,0.0
T101269,0.0
T101270,0.028
T101271,0.028
T101272,0.0
T101273,0.028
T101274,0.0
T101275,0.0
T101276,0.03
T101277,0.025
T101278,0.0
T101279,0.0
T101280,0.028
T101281,0.028
T101282,0.0
T101283,0.0
T101284,0.025
T101285,0.03
T101286,0.0
T101287,0.03
T101288,0.03
T101289,0.03
T101290,0.03
T101291,0.025
T101292,0.03
T101293,0.028
T101294,0.03
T101295,0.0
T101296,0.0
T101297,0.03
T101298,0.028
T101299,0.03
T101300,0.028
T101301,0.03
T101302,0.028
T101303,0.0
T101304,0.025
T101305,0.025
T101306,0.03
T101307,0.0
T101308,0.025
T101309,0.03
T101310,0.028
T101311,0.028
T101312,0.025
T101313,0.028
T101314,0.025
T101315,0.03
T101316,0.028
T101317,0.028
T101318,0.025
T101319,0.03
T101320,0.03
T101321,0.03
T101322,0.025
T101323,0.03
T101324,0.0
T101325,0.028
T101326,0.025
T101327,0.0
T101328,0.028
T101329,0.0
T101330,0.03
T101331,0.028
T101332,0.028
T101333,0.0
T101334,0.025
T101335,0.0
T101336,0.03
T101337,0.025
T101338,0.0
T101339,0.028
T101340,0.028
T101341,0.0
T101342,0.025
T101343,0.025
T101344,0.0
T101345,0.028
T101346,0.028
T101347,0.028
T101348,0.0
T101349,0.0
T101350,0.025
T101351,0.0
T101352,0.03
T101353,0.03
T101354,0.028
T101355,0.025
T101356,0.0
T101357,0.0
T101358,0.0
T101359,0.0
T101360,0.0
T101361,0.028
T101362,0.0
T101363,0.03
T101364,0.025
T101365,0.0
T101366,0.0
T101367,0.03
T101368,0.0
T101369,0.0
T101370,0.028
T101371,0.028
T101372,0.025
T101373,0.0
T101374,0.025
T101375,0.0
T101376,0.0
T101377,0.03
T101378,0.0
T101379,0.025
T101380,0.03
T101381,0.028
T101382,0.025
T101383,0.025
T101384,0.0
T101385,0.0
T101386,0.0
T101387,0.03
T101388,0.028
T101389,0.025
T101390,0.03
T101391,0.03
T101392,0.025
T101393,0.03
T101394,0.028
T101395,0.03
T101396,0.025
T101397,0.03
T101398,0.03
T101399,0.0
T101400,0.025
T101401,0.025
T101402,0.0
T101403,0.0
T101404,0.03
T101405,0.025
T101406,0.0
T101407,0.03
T101408,0.028
T101409,0.025
T101410,0.028
T101411,0.028
T101412,0.03
T101413,0.025
T101414,0.0
T101415,0.028
T101416,0.03
T101417,0.028
T101418,0.025
T101419,0.0
T101420,0.025
T101421,0.028
T101422,0.0
T101423,0.025
T101424,0.0
T101425,0.03
T101426,0.03
T101427,0.0
T101428,0.0
T101429,0.028
T101430,0.03
T101431,0.0
T101432,0.0
T101433,0.025
T101434,0.028
T101435,0.028
T101436,0.0
T101437,0.0
T101438,0.0
T101439,0.028
T101440,0.028
T101441,0.03
T101442,0.03
T101443,0.03
T101444,0.028
T101445,0.028
T101446,0.03
T101447,0.028
T101448,0.0
T101449,0.03
T101450,0.03
T101451,0.0
T101452,0.028
T101453,0.0
T101454,0.0
T101455,0.03
T101456,0.03
T101457,0.0
T101458,0.0
T101459,0.025
T101460,0.03
T101461,0.0
T101462,0.0
T101463,0.025
T101464,0.0
T101465,0.0
T101466,0.0
T101467,0.028
T101468,0.03
T101469,0.0
T101470,0.025
T101471,0.03
T101472,0.025
T101473,0.03
T101474,0.0
T101475,0.03
T101476,0.03
T101477,0.0
T101478,0.025
T101479,0.028
T101480,0.028
T101481,0.0
T101482,0.025
T101483,0.0
T101484,0.03
T101485,0.0
T101486,0.0
T101487,0.0
T101488,0.03
T101489,0.025
T101490,0.025
T101491,0.03
T101492,0.0
T101493,0.03
T101494,0.03
T101495,0.025
T101496,0.025
T101497,0.0
T101498,0.03
T101499,0.0
T101500,0.025
T101501,0.025
T101502,0.0
T101503,0.03
T101504,0.03
T101505,0.03
T101506,0.0
T101507,0.028
T101508,0.03
T101509,0.0
T101510,0.0
T101511,0.03
T101512,0.0
T101513,0.03
T101514,0.025
T101515,0.03
T101516,0.0
T101517,0.03
T101518,0.025
T101519,0.0
T101520,0.028
T101521,0.03
T101522,0.0
T101523,0.028
T101524,0.028
T101525,0.0
T101526,0.025
T101527,0.03
T101528,0.0
T101529,0.0
T101530,0.03
T101531,0.0
T101532,0.03
T101533,0.025
T101534,0.0
T101535,0.025
T101536,0.03
T101537,0.0
T101538,0.0
T101539,0.03
T101540,0.028
T101541,0.025
T101542,0.028
T101543,0.025
T101544,0.0
T101545,0.028
T101546,0.0
T101547,0.028
T101548,0.028
T101549,0.025
T101550,0.028
T101551,0.03
T101552,0.025
T101553,0.025
T101554,0.03
T101555,0.03
T101556,0.025
T101557,0.028
T101558,0.0
T101559,0.03
T101560,0.025
T101561,0.0
T101562,0.0
T101563,0.0
T101564,0.0
T101565,0.03
T101566,0.03
T101567,0.025
T101568,0.0
T101569,0.028
T101570,0.025
T101571,0.0
T101572,0.0
T101573,0.0
T101574,0.0
T101575,0.0
T101576,0.03
T101577,0.028
T101578,0.0
T101579,0.03
T101580,0.0
T101581,0.03
T101582,0.028
T101583,0.0
T101584,0.0
T101585,0.03
T101586,0.028
T101587,0.0
T101588,0.0
T101589,0.025
T101590,0.028
T101591,0.0
T101592,0.0
T101593,0.0
T101594,0.0
T101595,0.03
T101596,0.028
T101597,0.03
T101598,0.025
T101599,0.025
T101600,0.0
T101601,0.025
T101602,0.03
T101603,0.025
T101604,0.028
T101605,0.025
T101606,0.025
T101607,0.028
T101608,0.0
T101609,0.03
T101610,0.03
T101611,0.03
T101612,0.025
T101613,0.028
T101614,0.03
T101615,0.0
T101616,0.0
T101617,0.03
T101618,0.0
T101619,0.025
T101620,0.0
T101621,0.028
T101622,0.0
T101623,0.03
T101624,0.0
T101625,0.028
T101626,0.025
T101627,0.0
T101628,0.028
T101629,0.025
T101630,0.0
T101631,0.0
T101632,0.025
T101633,0.0
T101634,0.028
T101635,0.025
T101636,0.028
T101637,0.028
T101638,0.025
T101639,0.028
T101640,0.028
T101641,0.0
T101642,0.03
T101643,0.03
T101644,0.0
T101645,0.0
T101646,0.0
T101647,0.0
T101648,0.0
T101649,0.028
T101650,0.03
T101651,0.028
T101652,0.025
T101653,0.028
T101654,0.03
T101655,0.028
T101656,0.0
T101657,0.025
T101658,0.028
T101659,0.03
T101660,0.0
T101661,0.028
T101662,0.028
T101663,0.0
T101664,0.0
T101665,0.03
T101666,0.028
T101667,0.0
T101668,0.0
T101669,0.0
T101670,0.0
T101671,0.028
T101672,0.028
T101673,0.0
T101674,0.025
T101675,0.028
T101676,0.0
T101677,0.0
T101678,0.025
T101679,0.0
T101680,0.03
T101681,0.0
T101682,0.0
T101683,0.028
T101684,0.0
T101685,0.028
T101686,0.0
T101687,0.028
T101688,0.028
T101689,0.03
T101690,0.03
T101691,0.03
T101692,0.03
T101693,0.0
T101694,0.03
T101695,0.025
T101696,0.025
T101697,0.0
T101698,0.0
T101699,0.03
T101700,0.028
T101701,0.028
T101702,0.0
T101703,0.03
T101704,0.03
T101705,0.025
T101706,0.028
T101707,0.0
T101708,0.0
T101709,0.0
T101710,0.028
T101711,0.028
T101712,0.03
T101713,0.028
T101714,0.0
T101715,0.025
T101716,0.0
T101717,0.03
T101718,0.025
T101719,0.025
T101720,0.028
T101721,0.025
T101722,0.0
T101723,0.0
T101724,0.0
T101725,0.03
T101726,0.03
T101727,0.03
T101728,0.03
T101729,0.03
T101730,0.028
T101731,0.03
T101732,0.03
T101733,0.028
T101734,0.03
T101735,0.028
T101736,0.028
T101737,0.0
T101738,0.025
T101739,0.028
T101740,0.025
T101741,0.03
T101742,0.03
T101743,0.0
T101744,0.0
T101745,0.0
